N	pheno	LRT_Variance	Pval_Variance	Sum of V(G)_Vp_SE	Sum of V(G)_Vp_Variance	V(G1)_SE	V(G1)_Variance	V(G1)_Vp_SE	V(G1)_Vp_Variance	V(G2)_SE	V(G2)_Variance	V(G2)_Vp_SE	V(G2)_Vp_Variance	V(G3)_SE	V(G3)_Variance	V(G3)_Vp_SE	V(G3)_Vp_Variance	V(G4)_SE	V(G4)_Variance	V(G4)_Vp_SE	V(G4)_Vp_Variance	V(e)_SE	V(e)_Variance	Vp_SE	Vp_Variance	df_Variance	logL_Variance	logL0_Variance	n_Variance
10000	pheno_264	0.055	0.40715	0.230054	0.854821	0.119677	0.002727	0.119343	0.002719	0.121744	0.733036	0.120121	0.73099	0.118279	1e-06	0.117949	1e-06	0.114228	0.121449	0.113876	0.12111	0.2306	0.145586	0.014232	1.002799	1.0	-4999.018	-4999.046	10000.0
10000	pheno_265	0.0	0.5	0.230606	0.433668	0.121168	1e-06	0.120358	1e-06	0.12282	0.059572	0.121998	0.059174	0.116778	1e-06	0.115997	1e-06	0.117408	0.377012	0.116309	0.374492	0.232058	0.570142	0.01425	1.006729	1.0	-5032.49	-5032.302	10000.0
5000	pheno_265	12.329	0.00022296	0.462774	0.999999	0.236534	0.762555	0.235552	0.763899	0.237511	0.007325	0.23793	0.007338	0.23256	1e-06	0.23297	1e-06	0.233154	0.228359	0.233463	0.228761	0.46196	1e-06	0.020007	0.998241	1.0	-2492.808	-2498.972	5000.0
1000	pheno_265	0.777	0.18906	2.400279	0.711811	1.158857	0.033653	1.141755	0.033155	1.241457	1e-06	1.223069	1e-06	1.1895	0.688857	1.172127	0.678654	1.193553	1e-06	1.175875	1e-06	2.436369	0.292522	0.045399	1.015034	1.0	-513.559	-513.947	1000.0
10000	pheno_266	0.505	0.23872	0.231154	0.137174	0.119916	0.06527	0.120775	0.065743	0.12198	0.070915	0.122854	0.071429	0.11683	1e-06	0.117676	1e-06	0.116361	1e-06	0.117204	1e-06	0.229704	0.85662	0.014042	0.992807	1.0	-4967.747	-4967.999	10000.0
5000	pheno_267	0.0	0.5	0.45782	0.451877	0.233292	1e-06	0.237547	1e-06	0.233211	0.24912	0.237354	0.253663	0.231498	0.194663	0.23566	0.198213	0.226744	1e-06	0.230879	1e-06	0.449522	0.538306	0.019647	0.982091	1.0	-2458.155	-2458.036	5000.0
10000	pheno_269	0.0	0.5	0.2291	0.301184	0.121891	1e-06	0.118968	1e-06	0.123087	0.274863	0.119988	0.268272	0.12152	1e-06	0.118606	1e-06	0.119462	0.033719	0.116598	0.03291	0.234732	0.715984	0.014496	1.024568	1.0	-5123.615	-5123.453	10000.0
1000	pheno_269	0.0	0.5	2.431179	0.999999	1.426132	0.129765	1.237346	0.112583	1.524223	0.036824	1.322415	0.031948	1.447516	0.006004	1.25585	0.005209	1.418625	0.980029	1.229631	0.85026	2.802232	1e-06	0.055049	1.152623	1.0	-513.153	-510.942	1000.0
10000	pheno_270	0.0	0.5	0.24087	0.053726	0.130826	0.00816	0.123389	0.007696	0.134763	1e-06	0.127102	1e-06	0.13027	0.03761	0.122864	0.035472	0.127391	0.011193	0.120149	0.010557	0.255687	1.003307	0.015522	1.060271	1.0	-4964.335	-4957.811	10000.0
5000	pheno_271	0.0	0.5	0.453546	0.494716	0.238375	1e-06	0.239172	1e-06	0.234346	1e-06	0.23513	1e-06	0.235013	0.237194	0.235704	0.237987	0.227467	0.255872	0.228117	0.256727	0.451914	0.503601	0.019939	0.996668	1.0	-2494.98	-2494.89	5000.0
10000	pheno_271	0.0	0.5	0.231305	0.582332	0.12023	1e-06	0.11953	1e-06	0.122976	1e-06	0.12226	1e-06	0.118878	0.285424	0.118021	0.283763	0.116878	0.300316	0.116008	0.298568	0.232504	0.420113	0.014238	1.005855	1.0	-5027.45	-5027.099	10000.0
10000	pheno_272	0.111	0.36951	0.230937	0.341343	0.120416	0.039848	0.119351	0.039496	0.122816	0.060045	0.121726	0.059516	0.116696	0.077251	0.115654	0.076571	0.117203	0.167233	0.116102	0.165759	0.232993	0.664513	0.014272	1.00889	1.0	-5047.031	-5047.087	10000.0
5000	pheno_275	0.0	0.5	0.463918	0.225086	0.237524	1e-06	0.23611	1e-06	0.239108	0.170865	0.237649	0.169848	0.234639	1e-06	0.233243	1e-06	0.234296	0.055567	0.232906	0.055236	0.466763	0.779552	0.020122	1.005986	1.0	-2519.567	-2519.401	5000.0
500	pheno_276	0.0	0.5	4.539213	0.392669	2.387931	1e-06	2.275822	1e-06	2.445346	0.02288	2.330638	0.021806	2.469266	0.389129	2.3547	0.37086	2.439053	1e-06	2.324543	1e-06	4.765013	0.637249	0.066541	1.049261	1.0	-266.092	-265.989	500.0
5000	pheno_276	13.455	0.00012217	0.463485	0.385188	0.22447	0.018529	0.232013	0.019152	0.228061	1e-06	0.235723	1e-06	0.228328	0.014968	0.236	0.01547	0.228029	0.33917	0.235417	0.350565	0.448379	0.594827	0.019358	0.967495	1.0	-2420.729	-2427.456	5000.0
10000	pheno_276	0.922	0.16845	0.228749	0.187721	0.120832	0.108786	0.121047	0.109005	0.120784	1e-06	0.121027	1e-06	0.119079	1e-06	0.119319	1e-06	0.114636	0.078555	0.114854	0.078714	0.22845	0.810644	0.014116	0.997986	1.0	-4993.301	-4993.762	10000.0
5000	pheno_278	2.729	0.049264	0.472417	0.726551	0.226449	0.335916	0.239718	0.356047	0.221197	1e-06	0.234453	1e-06	0.220922	1e-06	0.234162	1e-06	0.220083	0.349554	0.232959	0.370502	0.445569	0.257988	0.018887	0.94346	1.0	-2355.758	-2357.123	5000.0
5000	pheno_279	0.041	0.42012	0.468553	0.610969	0.237993	0.04523	0.237032	0.045048	0.241522	0.437878	0.240086	0.43612	0.234855	1e-06	0.233913	1e-06	0.233598	0.130324	0.232622	0.1298	0.470309	0.390599	0.020096	1.004031	1.0	-2512.117	-2512.138	5000.0
5000	pheno_280	0.0	0.5	0.496513	0.14758	0.302232	0.01866	0.259039	0.015993	0.300924	0.153525	0.257914	0.131585	0.294952	1e-06	0.2528	1e-06	0.293627	1e-06	0.251664	1e-06	0.579364	0.994553	0.025185	1.16674	1.0	-2537.309	-2510.122	5000.0
5000	pheno_281	0.021	0.44279	0.455973	0.413809	0.232814	0.011588	0.23597	0.011745	0.233608	0.045614	0.236773	0.046232	0.226987	1e-06	0.230065	1e-06	0.227716	0.351071	0.230505	0.355831	0.44983	0.578349	0.019742	0.986622	1.0	-2469.062	-2469.072	5000.0
5000	pheno_282	1.401	0.11825	0.456973	0.330013	0.235347	0.180093	0.235088	0.179936	0.238328	1e-06	0.23812	1e-06	0.231601	0.086017	0.231397	0.085942	0.233615	0.064189	0.233415	0.064133	0.457352	0.670571	0.02002	1.000871	1.0	-2508.043	-2508.743	5000.0
1000	pheno_282	0.0	0.5	2.380029	0.098909	1.168597	1e-06	1.188788	1e-06	1.1761	0.050058	1.196538	0.050923	1.136476	1e-06	1.156112	1e-06	1.150932	0.047169	1.170929	0.047984	2.340124	0.885787	0.043987	0.983015	1.0	-500.62	-500.047	1000.0
5000	pheno_283	10.069	0.00075388	0.45622	0.999999	0.238842	0.664853	0.240364	0.671931	0.234037	0.143067	0.23651	0.14459	0.229814	1e-06	0.23226	1e-06	0.228926	0.181545	0.231326	0.183477	0.451415	1e-06	0.019819	0.989467	1.0	-2472.652	-2477.687	5000.0
10000	pheno_283	0.0	0.5	0.228226	0.262203	0.120127	1e-06	0.119814	1e-06	0.122195	0.17878	0.121821	0.178314	0.118061	1e-06	0.117753	1e-06	0.116588	0.084107	0.116277	0.083888	0.228855	0.739726	0.014182	1.002615	1.0	-5017.21	-5017.019	10000.0
10000	pheno_284	25.791	1.902e-07	0.23082	0.842747	0.121942	0.586172	0.120973	0.585497	0.121664	0.257545	0.121377	0.257248	0.116823	1e-06	0.116689	1e-06	0.115189	1e-06	0.115057	1e-06	0.230979	0.157434	0.014199	1.001153	1.0	-4993.751	-5006.647	10000.0
1000	pheno_285	0.0	0.5	2.46645	0.740543	1.489071	1e-06	1.300588	1e-06	1.401691	0.102062	1.224303	0.089143	1.46027	1e-06	1.275433	1e-06	1.456271	0.7458	1.271454	0.651398	2.82404	0.297058	0.055483	1.144921	1.0	-497.027	-490.991	1000.0
10000	pheno_288	58.852	8.4932e-15	0.245387	0.041396	0.140879	0.031799	0.127697	0.028823	0.14151	1e-06	0.128266	1e-06	0.137169	1e-06	0.124332	1e-06	0.133921	0.013869	0.121388	0.012571	0.270975	1.057577	0.016389	1.103247	1.0	-5029.949	-5059.375	10000.0
5000	pheno_288	0.841	0.17953	0.461946	0.382893	0.244595	0.161373	0.233996	0.15441	0.251259	0.114938	0.240403	0.109978	0.246852	1e-06	0.236201	1e-06	0.243722	0.123847	0.233187	0.118504	0.482729	0.644934	0.020905	1.045092	1.0	-2614.501	-2614.922	5000.0
5000	pheno_289	0.0	0.5	0.481102	0.999999	0.273033	0.334995	0.245333	0.30124	0.26841	0.077827	0.241353	0.069985	0.27039	0.386125	0.242899	0.347218	0.270581	0.313106	0.243166	0.281556	0.535012	1e-06	0.023176	1.112054	1.0	-2571.68	-2564.819	5000.0
10000	pheno_289	0.0	0.5	0.231471	0.36941	0.12104	1e-06	0.120322	1e-06	0.12194	0.148312	0.121183	0.147433	0.118816	1e-06	0.118111	1e-06	0.11755	0.2233	0.116759	0.221976	0.232782	0.634352	0.014231	1.005967	1.0	-5032.497	-5032.157	10000.0
10000	pheno_290	1.829	0.088148	0.230324	0.299141	0.11997	0.134106	0.119968	0.134148	0.120542	0.16494	0.120522	0.164991	0.118201	1e-06	0.118238	1e-06	0.116948	1e-06	0.116985	1e-06	0.230276	0.700639	0.014142	0.999686	1.0	-5000.635	-5001.549	10000.0
5000	pheno_290	0.0	0.5	0.458969	0.903416	0.233193	1e-06	0.235599	1e-06	0.234152	0.160149	0.236509	0.161801	0.232239	0.443938	0.234138	0.448519	0.228016	0.290102	0.230163	0.293096	0.454216	0.095597	0.019818	0.989787	1.0	-2475.427	-2475.426	5000.0
5000	pheno_291	49.094	1.2198e-12	0.486108	0.282018	0.291409	0.3153	0.256101	0.277243	0.282959	0.005429	0.248806	0.004774	0.288223	1e-06	0.253434	1e-06	0.284686	1e-06	0.250324	1e-06	0.552779	0.81654	0.024321	1.137271	1.0	-2512.819	-2537.366	5000.0
10000	pheno_291	2.112	0.073052	0.231101	0.494746	0.119028	0.166732	0.119548	0.167559	0.121375	0.129314	0.121938	0.129955	0.117283	1e-06	0.117865	1e-06	0.116096	0.196257	0.116574	0.197231	0.229858	0.50276	0.014081	0.995064	1.0	-4976.207	-4977.263	10000.0
10000	pheno_292	0.0	0.5	0.228964	0.027413	0.120113	1e-06	0.120151	1e-06	0.121068	0.016115	0.121108	0.01612	0.118529	1e-06	0.118567	1e-06	0.114077	0.011288	0.114114	0.011291	0.22923	0.972274	0.014138	0.999679	1.0	-5004.882	-5004.738	10000.0
10000	pheno_293	0.0	0.5	0.232878	0.123371	0.119796	1e-06	0.120624	1e-06	0.119262	0.105993	0.120068	0.106726	0.118763	1e-06	0.119584	1e-06	0.114387	0.016529	0.115179	0.016644	0.231488	0.870612	0.014046	0.993137	1.0	-4970.146	-4970.016	10000.0
5000	pheno_295	8.041	0.002286	0.462578	0.999999	0.238246	0.63925	0.236604	0.637534	0.236318	0.275457	0.235516	0.274717	0.235154	0.087982	0.234509	0.087746	0.235339	1e-06	0.234707	1e-06	0.463823	1e-06	0.020089	1.002691	1.0	-2505.423	-2509.444	5000.0
10000	pheno_295	1.18	0.13864	0.227098	0.638774	0.120613	0.122396	0.118848	0.120641	0.122279	0.109706	0.1205	0.108133	0.120583	0.415965	0.118439	0.409999	0.118326	1e-06	0.116629	1e-06	0.230262	0.366483	0.014368	1.014551	1.0	-5069.162	-5069.753	10000.0
10000	pheno_296	0.0	0.5	0.231496	0.703939	0.121605	1e-06	0.118477	1e-06	0.124215	1e-06	0.121021	1e-06	0.122246	0.513179	0.118483	0.49998	0.120014	0.209341	0.116825	0.203957	0.237462	0.303877	0.014545	1.026398	1.0	-5123.779	-5123.773	10000.0
5000	pheno_297	92.949	0.0	0.507252	0.144563	0.29557	0.143499	0.257324	0.124933	0.296093	1e-06	0.257784	1e-06	0.297093	0.022545	0.258654	0.019628	0.292098	1e-06	0.254306	1e-06	0.582675	0.982562	0.024988	1.148608	1.0	-2466.209	-2512.683	5000.0
5000	pheno_298	0.0	0.5	0.468144	0.402596	0.235641	1e-06	0.233843	1e-06	0.232653	1e-06	0.230879	1e-06	0.237744	0.190841	0.23587	0.189385	0.237967	0.214848	0.236072	0.213209	0.471665	0.601996	0.020159	1.007687	1.0	-2522.587	-2522.522	5000.0
10000	pheno_298	4.633	0.015685	0.234931	0.087875	0.127487	0.028343	0.122196	0.027167	0.127963	0.050858	0.122651	0.048748	0.124284	0.012477	0.119126	0.011959	0.12392	1e-06	0.118778	1e-06	0.245369	0.951612	0.014997	1.043291	1.0	-5056.767	-5059.083	10000.0
5000	pheno_299	2.056	0.075816	0.460999	0.916123	0.232324	0.330897	0.235225	0.335441	0.233141	0.049891	0.236338	0.050576	0.230865	0.261178	0.23386	0.264764	0.227348	0.261747	0.2303	0.265341	0.454695	0.082741	0.019748	0.986454	1.0	-2467.489	-2468.517	5000.0
1000	pheno_299	0.0	0.5	2.307693	0.281777	1.056333	1e-06	1.119491	1e-06	1.109889	0.051353	1.176327	0.054423	1.111189	1e-06	1.177627	1e-06	1.098841	0.214525	1.164753	0.227352	2.178022	0.677703	0.042222	0.943583	1.0	-476.195	-475.998	1000.0
5000	pheno_300	0.0	0.5	0.477005	0.139807	0.255181	1e-06	0.242023	1e-06	0.257826	0.140368	0.244501	0.13313	0.25795	0.007037	0.244649	0.006674	0.252484	1e-06	0.239465	1e-06	0.50315	0.906959	0.021549	1.054367	1.0	-2530.679	-2530.659	5000.0
10000	pheno_301	0.704	0.20067	0.234209	0.209539	0.117573	0.089672	0.121742	0.092867	0.117171	0.048434	0.121341	0.05016	0.115948	0.064223	0.12007	0.066511	0.11361	1e-06	0.117658	1e-06	0.226271	0.763265	0.013658	0.965595	1.0	-4828.496	-4828.849	10000.0
5000	pheno_302	0.124	0.36261	0.464622	0.493737	0.244932	0.088323	0.241714	0.08717	0.242193	0.23584	0.238902	0.232761	0.237731	0.145436	0.234577	0.143538	0.234019	0.030669	0.230962	0.030269	0.470683	0.51296	0.020272	1.013228	1.0	-2535.963	-2536.025	5000.0
1000	pheno_304	0.0	0.5	2.634907	0.999999	1.705582	0.22882	1.377487	0.184801	1.622819	1e-06	1.310631	1e-06	1.591261	0.35368	1.28528	0.285641	1.735893	0.655695	1.401846	0.529556	3.262531	1e-06	0.063516	1.238196	1.0	-490.421	-473.361	1000.0
5000	pheno_305	0.0	0.5	0.485074	0.465684	0.260353	1e-06	0.24501	1e-06	0.261532	0.068495	0.246112	0.064459	0.25968	0.168714	0.244335	0.158771	0.254225	0.257636	0.239133	0.242453	0.515317	0.567776	0.022033	1.062621	1.0	-2483.203	-2476.868	5000.0
5000	pheno_306	0.0	0.5	0.453371	0.40295	0.2362	1e-06	0.233895	1e-06	0.235465	0.281865	0.232982	0.279115	0.235928	0.005333	0.233626	0.005281	0.233587	0.119721	0.231276	0.118553	0.457816	0.602933	0.020204	1.009853	1.0	-2527.584	-2527.583	5000.0
5000	pheno_307	0.0	0.5	0.462179	0.282976	0.241157	1e-06	0.238627	1e-06	0.23907	0.119717	0.236536	0.118461	0.238825	0.014543	0.236319	0.01439	0.240312	0.151715	0.237745	0.150124	0.467138	0.724627	0.020457	1.010603	1.0	-2471.457	-2470.751	5000.0
10000	pheno_307	0.0	0.5	0.231813	0.107283	0.119714	1e-06	0.121422	1e-06	0.119563	0.074984	0.121256	0.076053	0.116444	1e-06	0.118105	1e-06	0.114574	0.030788	0.116207	0.031228	0.228807	0.880163	0.013944	0.985937	1.0	-4933.111	-4933.099	10000.0
5000	pheno_308	0.0	0.5	0.464166	0.539559	0.228744	1e-06	0.234256	1e-06	0.232641	0.221312	0.238186	0.226645	0.231529	1e-06	0.237108	1e-06	0.225902	0.30555	0.231194	0.312913	0.453071	0.449606	0.019535	0.97647	1.0	-2444.976	-2444.662	5000.0
500	pheno_309	0.0	0.5	4.407234	0.999999	2.432593	0.120237	2.358631	0.11656	2.37064	0.179431	2.29881	0.173944	2.427524	0.731875	2.354936	0.709494	2.300883	1e-06	2.230523	1e-06	4.546258	1e-06	0.065453	1.031545	1.0	-261.915	-261.914	500.0
10000	pheno_311	0.205	0.32539	0.230645	0.212408	0.120708	0.037355	0.119407	0.036953	0.123378	0.111864	0.122025	0.110662	0.117943	0.065496	0.116667	0.064792	0.117521	1e-06	0.116258	1e-06	0.233274	0.796151	0.014298	1.010867	1.0	-5057.642	-5057.744	10000.0
10000	pheno_312	0.0	0.49913	0.231328	0.30519	0.116546	0.000253	0.119428	0.000259	0.119466	0.111544	0.122388	0.114303	0.114814	0.141118	0.117602	0.144608	0.113432	0.04491	0.116232	0.046021	0.225779	0.678042	0.013805	0.975867	1.0	-4880.79	-4880.79	10000.0
5000	pheno_312	0.811	0.18395	0.465112	0.378629	0.238233	0.174189	0.239594	0.175234	0.236899	0.081975	0.238311	0.082466	0.23313	1e-06	0.234528	1e-06	0.23278	0.120207	0.234152	0.120928	0.462302	0.617665	0.019885	0.994036	1.0	-2488.671	-2489.076	5000.0
10000	pheno_313	0.559	0.22724	0.233151	0.515452	0.120499	0.091402	0.12194	0.092512	0.119406	0.124753	0.120819	0.126269	0.116458	0.188814	0.117783	0.191108	0.115317	0.104295	0.11669	0.105562	0.230243	0.478731	0.01398	0.987995	1.0	-4941.19	-4941.47	10000.0
5000	pheno_313	0.913	0.16967	0.465187	0.66195	0.228089	0.133045	0.233747	0.136364	0.231501	0.265781	0.237131	0.272411	0.228425	0.247012	0.233996	0.253173	0.226098	1e-06	0.231738	1e-06	0.453715	0.329823	0.019522	0.975661	1.0	-2441.894	-2442.351	5000.0
10000	pheno_314	0.354	0.27585	0.235653	0.411506	0.120319	0.062837	0.12056	0.062968	0.12034	0.122429	0.120557	0.122685	0.119275	0.225381	0.1194	0.225852	0.116177	1e-06	0.11642	1e-06	0.235099	0.587268	0.01412	0.997915	1.0	-4991.079	-4991.257	10000.0
5000	pheno_315	0.933	0.16708	0.467357	0.820844	0.23515	0.178177	0.238103	0.180468	0.236148	1e-06	0.239184	1e-06	0.232479	0.336017	0.23521	0.340337	0.232251	0.29623	0.235045	0.300038	0.461311	0.176882	0.019761	0.987307	1.0	-2469.945	-2470.411	5000.0
10000	pheno_315	2.112	0.073088	0.230198	0.342269	0.120347	0.15646	0.120536	0.156781	0.122009	0.184042	0.122183	0.184419	0.119013	1e-06	0.119257	1e-06	0.115421	0.001065	0.115657	0.001068	0.229718	0.656387	0.014119	0.997955	1.0	-4991.748	-4992.804	10000.0
10000	pheno_317	42.824	2.9946e-11	0.230041	0.918008	0.121527	0.754042	0.121205	0.760715	0.120097	0.136322	0.121124	0.137529	0.115657	1e-06	0.116681	1e-06	0.11424	0.019589	0.115252	0.019763	0.227958	0.081273	0.014076	0.991228	1.0	-4938.309	-4959.721	10000.0
5000	pheno_317	1.848	0.08702	0.458943	0.999999	0.243993	0.292796	0.237271	0.284897	0.244415	0.688371	0.236871	0.669801	0.238332	0.00667	0.231904	0.00649	0.23996	0.039886	0.233494	0.03881	0.471667	1e-06	0.020584	1.027724	1.0	-2566.484	-2567.408	5000.0
10000	pheno_319	3.878	0.024456	0.231535	0.418516	0.121572	0.231371	0.120139	0.228893	0.12261	0.112422	0.121268	0.111219	0.118967	1e-06	0.117693	1e-06	0.117595	0.079253	0.116321	0.078404	0.233979	0.587778	0.014303	1.010825	1.0	-5055.194	-5057.133	10000.0
5000	pheno_319	0.0	0.5	0.520651	0.174148	0.334403	0.03918	0.263611	0.030886	0.339912	0.02683	0.267956	0.02115	0.33576	0.154902	0.264675	0.122111	0.335841	1e-06	0.264748	1e-06	0.66047	1.04762	0.028622	1.268533	1.0	-2565.298	-2526.463	5000.0
10000	pheno_320	0.0	0.5	0.242286	0.057931	0.141874	1e-06	0.126352	1e-06	0.141943	0.043966	0.126416	0.039155	0.137609	1e-06	0.122553	1e-06	0.13622	0.02108	0.121315	0.018774	0.272289	1.057805	0.016659	1.122853	1.0	-5130.422	-5108.362	10000.0
10000	pheno_321	0.292	0.29446	0.234771	0.166053	0.12233	0.060579	0.121538	0.060191	0.123317	1e-06	0.122528	1e-06	0.120172	0.106542	0.119377	0.10586	0.117431	1e-06	0.11668	1e-06	0.236464	0.839317	0.014235	1.006439	1.0	-5035.654	-5035.8	10000.0
10000	pheno_322	1.164	0.14028	0.234106	0.061294	0.122261	0.001576	0.120721	0.001556	0.123562	0.003643	0.122006	0.003597	0.121334	0.056856	0.1198	0.05614	0.11861	1e-06	0.117116	1e-06	0.237412	0.950681	0.014446	1.012757	1.0	-4982.848	-4983.43	10000.0
1000	pheno_322	0.0	0.5	2.8674	0.999999	2.107364	1.309865	1.450268	0.902001	2.057937	0.048545	1.417183	0.033429	2.036838	0.093764	1.402652	0.064568	2.021332	1e-06	1.391932	1e-06	4.163971	1e-06	0.078391	1.452177	1.0	-533.16	-509.654	1000.0
10000	pheno_323	1.77	0.091664	0.232691	0.43702	0.121142	0.160479	0.120141	0.159238	0.124505	0.06603	0.123533	0.06552	0.120211	0.144091	0.119231	0.142977	0.118323	0.069824	0.117397	0.069285	0.23443	0.567365	0.014259	1.007789	1.0	-5040.953	-5041.838	10000.0
10000	pheno_324	0.0	0.5	0.231037	0.851834	0.121731	1e-06	0.121296	1e-06	0.122074	0.400068	0.12126	0.398639	0.118631	0.275545	0.118027	0.27456	0.116543	0.179274	0.116053	0.178633	0.231767	0.148697	0.014219	1.003585	1.0	-5012.188	-5012.166	10000.0
5000	pheno_324	24.47	3.7733e-07	0.493376	0.350081	0.294255	0.289998	0.253783	0.250219	0.293906	1e-06	0.253591	1e-06	0.29209	0.029568	0.252023	0.025512	0.288378	0.08617	0.248826	0.07435	0.571699	0.753241	0.024641	1.158977	1.0	-2588.016	-2600.251	5000.0
5000	pheno_325	0.105	0.37319	0.453686	0.266263	0.237164	0.077	0.236979	0.076945	0.238265	0.098214	0.238074	0.098144	0.229628	0.041964	0.229461	0.041934	0.234363	0.049274	0.234192	0.049239	0.454114	0.734262	0.020017	1.000714	1.0	-2505.422	-2505.474	5000.0
10000	pheno_325	48.205	1.9193e-12	0.233054	0.99626	0.124127	0.830947	0.120853	0.820102	0.123311	1e-06	0.121702	1e-06	0.120186	0.178485	0.118549	0.176156	0.118057	1e-06	0.116517	1e-06	0.236133	0.003789	0.014505	1.013223	1.0	-4969.687	-4993.79	10000.0
5000	pheno_326	1.724	0.094612	0.45773	0.634391	0.237298	0.258615	0.238601	0.260198	0.231072	0.10006	0.232475	0.100673	0.232949	1e-06	0.234375	1e-06	0.234331	0.271855	0.235609	0.273519	0.454802	0.363385	0.019888	0.993916	1.0	-2487.654	-2488.516	5000.0
10000	pheno_326	0.706	0.20037	0.234021	0.178861	0.120974	0.070688	0.119672	0.069933	0.122501	0.110103	0.121169	0.108926	0.117778	1e-06	0.116519	1e-06	0.117331	1e-06	0.116077	1e-06	0.236701	0.830008	0.014297	1.010801	1.0	-5057.199	-5057.552	10000.0
10000	pheno_327	0.0	0.5	0.240958	0.09951	0.136083	1e-06	0.124336	1e-06	0.138581	0.078995	0.126606	0.072176	0.1345	1e-06	0.12289	1e-06	0.131889	0.029915	0.120506	0.027333	0.263913	0.985568	0.016123	1.094481	1.0	-5067.202	-5051.062	10000.0
5000	pheno_327	0.0	0.5	0.478206	0.586719	0.251087	1e-06	0.239843	1e-06	0.253293	0.147384	0.241918	0.140784	0.252548	0.012715	0.241239	0.012145	0.253522	0.454125	0.241735	0.433789	0.50047	0.432655	0.021421	1.046879	1.0	-2508.429	-2505.962	5000.0
5000	pheno_328	1.724	0.094605	0.459567	0.653134	0.236331	0.245083	0.233098	0.241861	0.239353	0.150457	0.236172	0.148479	0.237738	1e-06	0.234613	1e-06	0.236784	0.266294	0.23353	0.262793	0.465545	0.351486	0.020276	1.01332	1.0	-2535.951	-2536.813	5000.0
5000	pheno_330	0.0	0.5	0.465458	0.160282	0.238268	1e-06	0.236257	1e-06	0.235957	0.001567	0.233966	0.001554	0.238974	1e-06	0.236957	1e-06	0.23519	0.160077	0.233152	0.158726	0.46963	0.846865	0.020173	1.008511	1.0	-2524.778	-2524.772	5000.0
5000	pheno_331	0.0	0.5	0.465566	0.881818	0.248616	1e-06	0.240067	1e-06	0.248891	0.019222	0.240332	0.018561	0.247913	0.652074	0.238434	0.629651	0.24352	0.241924	0.235035	0.233605	0.482061	0.122391	0.02103	1.035613	1.0	-2519.246	-2518.271	5000.0
5000	pheno_332	0.0	0.5	0.461459	0.112937	0.242763	1e-06	0.236793	1e-06	0.240993	1e-06	0.235067	1e-06	0.239236	0.070998	0.23336	0.069253	0.237145	0.044783	0.231321	0.043682	0.473282	0.909424	0.020505	1.025208	1.0	-2569.133	-2569.094	5000.0
10000	pheno_332	1.206	0.13608	0.233062	0.332992	0.123076	0.130747	0.121403	0.129014	0.122742	0.086768	0.121099	0.085618	0.120467	0.119948	0.118837	0.118359	0.116326	1e-06	0.114785	1e-06	0.236191	0.675965	0.014337	1.013428	1.0	-5069.349	-5069.952	10000.0
500	pheno_334	0.011	0.45891	4.520626	0.999999	2.295008	0.199182	2.335315	0.202636	2.206516	1e-06	2.244772	1e-06	2.44928	0.125269	2.492156	0.12744	2.263863	0.658505	2.30379	0.669922	4.443584	1e-06	0.062384	0.982958	1.0	-248.953	-248.958	500.0
1000	pheno_334	0.0	0.5	2.619783	0.727929	1.867909	1e-06	1.294493	1e-06	1.929986	0.211337	1.337565	0.14646	2.067001	0.470679	1.43262	0.326188	1.950238	0.36836	1.351697	0.25528	3.780407	0.392589	0.0757	1.442966	1.0	-550.721	-528.085	1000.0
10000	pheno_335	0.0	0.5	0.235341	0.259398	0.12817	1e-06	0.122325	1e-06	0.129266	1e-06	0.123371	1e-06	0.125193	0.008876	0.119483	0.008471	0.125	0.262915	0.119157	0.250925	0.246623	0.775993	0.015118	1.047786	1.0	-5042.476	-5038.904	10000.0
5000	pheno_337	4.571	0.016254	0.458618	0.776833	0.238058	0.485839	0.238546	0.488038	0.234879	0.223299	0.235834	0.22431	0.233479	0.064193	0.234529	0.064484	0.230406	1e-06	0.231449	1e-06	0.456427	0.222161	0.019932	0.995494	1.0	-2489.658	-2491.944	5000.0
10000	pheno_337	0.118	0.36561	0.231439	0.161264	0.121475	0.02389	0.12029	0.023657	0.12157	1e-06	0.120385	1e-06	0.119395	0.07534	0.11822	0.074605	0.11692	0.063621	0.115773	0.063001	0.233902	0.846993	0.014283	1.009844	1.0	-5052.966	-5053.025	10000.0
5000	pheno_338	0.053	0.40885	0.459606	0.626561	0.235752	0.028912	0.235085	0.02883	0.238531	1e-06	0.237857	1e-06	0.240038	0.451036	0.238873	0.449762	0.231751	0.148387	0.231053	0.147968	0.460773	0.374496	0.020073	1.002833	1.0	-2508.871	-2508.898	5000.0
10000	pheno_338	0.0	0.5	0.237555	0.143013	0.12516	1e-06	0.121303	1e-06	0.126261	0.131828	0.122337	0.127765	0.125159	1e-06	0.121302	1e-06	0.122505	0.01573	0.118729	0.015246	0.245297	0.884239	0.014801	1.0318	1.0	-5020.922	-5018.927	10000.0
5000	pheno_339	6.913	0.0042787	0.465105	0.181707	0.253015	0.020466	0.23862	0.019301	0.257369	0.015208	0.242725	0.014343	0.260281	1e-06	0.245472	1e-06	0.246242	0.156995	0.232198	0.148062	0.493314	0.86766	0.021853	1.060329	1.0	-2505.628	-2509.084	5000.0
