seqnames	start	end	h2_category	hg38_genes_promoters	hg38_genes_1to5kb	hg38_genes_5UTRs	hg38_genes_exons	hg38_genes_introns	hg38_genes_3UTRs	hg38_cpg_islands	hg38_cpg_shores	hg38_cpg_shelves	hg38_cpg_inter	hg38_genes_intergenic	hg38_enhancers_fantom
chr3	123619629	123620708	Non-heritable	1	1	1	1	1	1	0	0	0	1	0	0
chr3	123799524	123800092	Non-heritable	0	0	1	1	1	0	0	0	0	1	0	0
chr3	124887696	124887944	Non-heritable	1	0	1	1	1	0	1	1	0	0	0	0
chr3	125142067	125142486	Non-heritable	0	0	0	0	1	0	1	1	0	0	0	1
chr3	125767243	125767542	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	125768796	125769166	Non-heritable	0	0	0	0	1	0	0	1	1	0	0	0
chr3	125955307	125958772	Non-heritable	1	1	0	1	1	0	1	1	1	0	0	0
chr3	125989806	125991383	Heritable	1	0	0	1	1	0	1	1	0	0	0	1
chr3	126056720	126057178	Non-heritable	1	0	1	1	1	0	0	0	0	1	0	0
chr3	126179405	126179559	Heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr3	126226052	126227688	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	126228770	126231455	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	126235157	126236680	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	126266375	126266833	Non-heritable	1	0	0	1	0	0	0	1	0	0	0	0
chr3	126288591	126288683	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr3	126301217	126301929	Heritable	1	0	0	0	0	0	0	0	0	1	0	0
chr3	126304255	126305143	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr3	126394439	126394637	Non-heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr3	126416208	126416632	Heritable	1	1	0	1	1	0	1	1	0	0	0	0
chr3	126489992	126490513	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	126534643	126535603	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	126541565	126542512	Non-heritable	0	0	0	1	1	0	1	1	0	0	0	0
chr3	126552495	126552933	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	126998876	127000811	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	127002058	127002640	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr3	127013386	127013675	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	127138646	127139062	Non-heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr3	127337711	127338636	Heritable	1	0	0	1	1	0	1	1	0	0	0	0
chr3	127548292	127548616	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr3	127821367	127821793	Non-heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr3	127829635	127831075	Heritable	0	0	1	1	1	0	0	0	0	1	0	0
chr3	128139807	128140649	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	128351875	128352630	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	128409269	128409498	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	128430570	128430696	Non-heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr3	128432416	128432549	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr3	128480438	128481537	Non-heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr3	128608827	128608961	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr3	128617319	128617411	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr3	128653490	128654087	Heritable	0	1	0	0	1	0	0	0	1	0	0	0
chr3	128680125	128680301	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr3	128699132	128699302	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	129062073	129062215	Non-heritable	0	0	0	1	0	0	0	0	0	1	0	0
chr3	129068257	129068305	Non-heritable	1	0	0	0	0	0	0	0	0	1	0	0
chr3	129358399	129358661	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	129359870	129361742	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	129364890	129365630	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	129611890	129612452	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	129723479	129724021	Non-heritable	0	0	1	1	1	0	0	0	0	1	0	0
chr3	129974309	129974381	Non-heritable	1	0	0	0	0	0	1	0	0	0	0	0
chr3	130084556	130085560	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	130098281	130099100	Heritable	0	1	0	1	1	1	0	0	0	1	0	0
chr3	130179442	130179868	Heritable	1	1	0	1	1	0	0	0	0	1	0	0
chr3	131380887	131381286	Non-heritable	1	0	0	1	1	0	0	1	0	0	0	0
chr3	131526501	131526765	Non-heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr3	131877241	131879399	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	131957079	131957863	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	131958687	131960459	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	133077792	133078879	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	133673921	133674047	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	133746793	133750015	Non-heritable	1	1	1	1	1	0	0	1	1	0	0	0
chr3	133783696	133784118	Heritable	1	0	1	1	0	1	1	1	0	0	0	0
chr3	134358592	134360101	Non-heritable	0	1	0	1	1	0	0	1	1	0	0	0
chr3	134362886	134363542	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	134433748	134434999	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr3	134594361	134594930	Heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr3	136261898	136262533	Non-heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr3	137012951	137013674	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	137037682	137040201	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	137437782	137442823	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	139020396	139020592	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr3	139044245	139044870	Non-heritable	0	0	1	1	1	0	1	0	0	0	0	0
chr3	139343546	139343780	Heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr3	139538712	139538992	Heritable	1	1	0	1	1	1	1	1	0	0	0	0
chr3	139540234	139540678	Heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr3	140419274	140420593	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	141686815	141687076	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	141797214	141797460	Non-heritable	0	0	0	0	1	0	1	0	0	0	0	0
chr3	142947336	142947817	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr3	143121465	143121702	Non-heritable	0	1	0	1	0	0	1	0	0	0	0	0
chr3	143123045	143123576	Non-heritable	1	0	0	1	0	1	0	1	0	0	0	0
chr3	143274547	143276315	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	143701530	143704379	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr3	143815647	143816429	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	143897754	143898341	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	145176234	145178409	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	145417712	145419476	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	145786603	145788421	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	146022168	146024726	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	146235036	146237123	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	146246686	146249122	Heritable	0	0	0	0	1	0	0	1	1	0	0	0
chr3	146468966	146469322	Non-heritable	1	0	1	1	1	0	1	1	0	0	0	0
chr3	147371168	147373605	Non-heritable	1	1	0	0	0	0	0	0	0	1	0	0
chr3	147380253	147381760	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	147390773	147391659	Non-heritable	0	1	0	1	1	0	1	0	0	0	0	0
chr3	147395913	147397982	Non-heritable	1	1	0	1	1	0	1	1	0	0	0	0
chr3	147398274	147398668	Non-heritable	0	1	0	0	1	0	1	1	0	0	0	0
chr3	147406605	147406900	Non-heritable	1	1	1	1	1	0	0	0	1	0	0	0
chr3	147411849	147413884	Non-heritable	0	0	0	1	1	1	1	1	0	0	0	0
chr3	147419716	147420092	Non-heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr3	147422035	147422967	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	148150928	148151781	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	149085357	149085475	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr3	149086933	149087003	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr3	149386719	149387752	Heritable	1	1	0	0	0	0	0	0	0	1	0	1
chr3	149672437	149673512	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr3	152836327	152836448	Non-heritable	0	0	0	1	0	0	0	1	0	0	0	0
chr3	153963241	153966004	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	154429321	154429837	Non-heritable	0	0	1	1	0	0	0	1	0	0	0	0
chr3	155125341	155125545	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	155309518	155310269	Heritable	1	0	0	1	0	0	0	0	0	1	0	0
chr3	155630361	155632124	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	156292568	156292834	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	157542654	157542844	Non-heritable	1	0	0	0	0	0	0	1	0	0	0	0
chr3	157543626	157543710	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	158329475	158331000	Heritable	1	0	0	1	1	0	0	0	0	1	0	1
chr3	158631617	158634574	Heritable	0	1	0	0	0	0	0	0	0	1	1	0
chr3	158672669	158673251	Heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr3	160180576	160181083	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	160447686	160448612	Non-heritable	0	1	1	1	1	0	0	1	0	0	0	0
chr3	162058264	162061301	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162795927	162797750	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162829678	162834934	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162836204	162840785	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162849189	162854471	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162855505	162858082	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162859139	162861312	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162862654	162864748	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162865773	162867063	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162868853	162875695	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162876753	162890546	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162892719	162896962	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162897971	162899624	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	162901141	162903760	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	163020995	163023663	Heritable	0	1	0	0	0	0	0	0	0	1	1	0
chr3	164020514	164022513	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	167437838	167439177	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	167817401	167818323	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr3	169813222	169813943	Heritable	1	1	1	1	1	0	0	1	0	0	0	0
chr3	170424884	170425508	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	171830164	171830355	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	172677560	172678497	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr3	173586426	173586923	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	174332883	174334623	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	175178492	175181456	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	176795969	176798355	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	177663868	177664584	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	179260977	179261077	Non-heritable	0	1	0	1	1	0	0	1	0	0	0	0
chr3	183252887	183253062	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr3	183372194	183373456	Heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr3	183427092	183427493	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	183462157	183463390	Heritable	1	0	0	1	0	0	0	0	0	1	1	0
chr3	183660795	183662311	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr3	183822628	183823323	Non-heritable	0	0	0	0	1	0	0	1	1	0	0	1
chr3	183980554	183980992	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	184549625	184550743	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	184603684	184603921	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr3	184716673	184717461	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	1
chr3	187555164	187558586	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	190340903	190342147	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	190343268	190344610	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	190799155	190801010	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	190812577	190813859	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	191079190	191082295	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	191269311	191270421	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	191285239	191286363	Heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr3	191466771	191470052	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	191641955	191642770	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	191648064	191651479	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	191975838	191976769	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	192042809	192044777	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	192570912	192572374	Heritable	0	0	0	1	1	0	0	0	0	1	0	1
chr3	193419558	193421243	Heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr3	193673980	193674113	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	193869451	193869705	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr3	194003688	194003868	Heritable	1	0	0	1	1	0	0	1	0	0	0	0
chr3	194086580	194087091	Non-heritable	0	1	0	1	0	0	0	0	0	1	0	0
chr3	194142078	194142309	Heritable	0	1	0	0	0	0	0	1	0	0	0	0
chr3	194269520	194269917	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr3	194396356	194396756	Non-heritable	0	0	0	1	0	1	0	1	0	0	0	0
chr3	194527150	194527690	Heritable	0	0	0	0	0	0	0	0	0	1	1	1
chr3	194749980	194750317	Non-heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr3	194947320	194949778	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	194984790	194985577	Heritable	0	0	0	0	0	0	0	0	0	1	1	1
chr3	195087528	195088434	Heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr3	195119579	195120143	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	195133308	195133785	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	195150141	195150833	Heritable	0	1	0	0	1	0	0	0	0	1	0	1
chr3	195255374	195255975	Heritable	0	1	0	0	1	0	0	0	1	1	0	0
chr3	195260784	195261008	Non-heritable	1	0	0	1	1	0	0	1	0	0	0	1
chr3	195617898	195618284	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	195747952	195748173	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr3	195760269	195762980	Heritable	0	0	0	1	1	1	1	1	0	0	0	0
chr3	195811823	195812162	Non-heritable	1	0	1	1	0	0	0	0	0	1	0	0
chr3	195849501	195850217	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	195850779	195851585	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	195891809	195892288	Non-heritable	0	1	1	1	1	0	0	0	1	0	0	0
chr3	195900162	195900911	Non-heritable	1	1	0	0	1	0	0	0	1	1	0	1
chr3	195955308	195955737	Heritable	1	1	0	0	0	0	0	1	0	0	0	0
chr3	196120556	196120747	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	196151144	196151266	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	196318745	196318891	Heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr3	196528302	196528432	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr3	196532777	196533428	Heritable	0	1	0	0	0	0	0	0	1	1	0	0
chr3	196763135	196763672	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	197001950	197002123	Heritable	1	1	0	1	1	1	1	1	0	0	0	0
chr3	197356486	197356793	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	197367208	197367422	Non-heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr3	197406298	197406538	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr3	197458451	197459182	Heritable	1	1	0	1	1	0	0	1	1	0	0	0
chr3	197485293	197485683	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	197520615	197521262	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	1
chr3	197751894	197752095	Heritable	0	1	0	0	1	0	0	1	0	0	0	0
chr3	198105836	198106459	Heritable	0	1	0	0	0	0	1	1	0	0	0	0
chr3	198118319	198120999	Heritable	1	1	0	1	0	0	0	0	0	1	1	0
chr3	198139689	198140834	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr3	198143645	198143794	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	1018401	1018681	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr4	1033608	1034465	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	1
chr4	1045283	1045879	Heritable	0	0	0	0	0	0	0	0	1	1	1	0
chr4	1046948	1047273	Non-heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	1050647	1051346	Heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr4	1055444	1055723	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr4	1193349	1195197	Heritable	1	0	1	1	1	0	1	1	0	0	0	0
chr4	1200553	1200749	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	1208595	1208862	Non-heritable	1	1	1	1	0	0	0	1	0	0	0	0
chr4	1209848	1210159	Non-heritable	1	1	0	1	0	0	0	1	0	0	0	0
chr4	1212030	1212236	Heritable	0	1	0	1	1	1	1	0	0	0	0	0
chr4	1301690	1302572	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	1310069	1310214	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr4	1382319	1382720	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr4	1492682	1493049	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr4	1512468	1512766	Heritable	0	0	0	0	0	0	1	0	0	0	1	0
chr4	1520002	1521779	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr4	1523999	1525029	Non-heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	1564276	1564413	Heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	1577167	1578324	Non-heritable	0	0	0	0	1	0	1	1	0	0	0	0
chr4	1644769	1645615	Heritable	1	0	0	1	1	0	0	1	0	0	0	0
chr4	1729506	1730131	Heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr4	1747027	1747277	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	1752717	1752845	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	1992941	1993070	Heritable	1	1	0	0	1	0	1	0	0	0	0	0
chr4	2062583	2062782	Non-heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr4	2067642	2067804	Non-heritable	0	0	0	1	0	1	0	0	1	0	0	0
chr4	2183157	2184951	Heritable	0	1	0	0	1	0	0	0	0	1	0	1
chr4	2364457	2365739	Heritable	1	0	1	1	1	0	1	1	0	0	0	0
chr4	2403018	2403497	Heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr4	2415954	2416716	Heritable	0	1	0	0	1	0	1	1	0	0	0	0
chr4	2432682	2433368	Non-heritable	0	0	0	0	1	0	0	0	1	0	0	0
chr4	2793913	2794241	Non-heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr4	2825788	2825932	Non-heritable	1	1	0	0	1	0	0	0	0	1	0	0
chr4	2875578	2876051	Non-heritable	1	0	1	1	1	0	0	0	0	1	0	0
chr4	2931804	2931966	Heritable	1	1	0	1	1	1	1	1	0	0	0	0
chr4	2977705	2977773	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	3041239	3042566	Non-heritable	1	1	1	1	1	0	1	1	0	0	0	0
chr4	3248820	3249102	Non-heritable	1	0	1	1	1	0	1	1	0	0	0	0
chr4	3270115	3270253	Non-heritable	0	0	0	1	0	1	0	0	0	1	0	0
chr4	3285921	3286328	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	3316383	3316790	Heritable	0	1	0	1	1	0	0	1	0	0	0	0
chr4	3367163	3367536	Heritable	0	1	0	0	1	0	0	0	1	0	0	0
chr4	3387985	3389297	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	1
chr4	3483393	3485459	Non-heritable	1	1	1	1	1	0	1	1	0	0	0	1
chr4	3500711	3500962	Heritable	0	0	0	1	0	1	1	1	0	0	0	0
chr4	3546835	3547422	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	3567035	3568894	Heritable	0	0	0	0	0	0	0	1	1	0	1	0
chr4	3637560	3637826	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	3660467	3661022	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	3701315	3701563	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	3723477	3723823	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	3737756	3737872	Heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	3775008	3775181	Non-heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	3830138	3830323	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	3972665	3974783	Heritable	1	1	0	1	0	0	0	0	0	1	0	0
chr4	4046695	4048659	Non-heritable	0	0	0	1	0	0	0	0	0	1	1	0
chr4	4148707	4150523	Non-heritable	1	0	0	1	1	0	0	0	0	1	0	0
chr4	4164201	4164720	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	4254309	4254858	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	4669352	4669541	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	4761058	4761645	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	4852758	4853172	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	1
chr4	4861755	4862033	Non-heritable	1	0	0	0	1	0	0	1	0	0	0	0
chr4	4862442	4862691	Non-heritable	0	0	0	1	1	0	0	1	0	0	0	0
chr4	6105203	6106110	Non-heritable	0	0	1	1	1	0	1	1	0	0	0	0
chr4	6276395	6276702	Non-heritable	1	1	0	0	1	0	0	0	0	1	0	1
chr4	6308989	6309056	Non-heritable	1	0	0	0	0	0	0	0	0	1	0	0
chr4	6309712	6309987	Heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr4	6390431	6390735	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	6473125	6473542	Heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr4	6664735	6664922	Heritable	0	0	0	0	1	0	0	1	0	0	0	0
chr4	6673254	6673593	Heritable	1	0	1	1	1	0	0	1	0	0	0	0
chr4	6724564	6725043	Heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	6726862	6728021	Non-heritable	0	0	0	0	0	0	1	1	0	0	1	0
chr4	6761419	6761922	Non-heritable	0	1	0	0	0	0	0	0	0	1	0	0
chr4	7102739	7102862	Non-heritable	0	0	0	1	1	0	0	0	0	1	0	0
chr4	7244241	7244797	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7291181	7291807	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7302368	7302838	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7307333	7307646	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr4	7326575	7327310	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7329134	7329358	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7335438	7335943	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7373420	7373915	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7423651	7424259	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7463271	7463898	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7630626	7631616	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7743551	7743805	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	7746472	7746634	Non-heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	7761703	7762224	Heritable	0	0	0	1	1	1	0	0	0	1	0	0
chr4	7778769	7779273	Non-heritable	1	0	0	1	1	0	0	0	0	1	0	0
chr4	7785153	7785312	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7810921	7811132	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7924408	7924808	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	7937776	7938136	Non-heritable	1	1	0	0	1	0	0	1	0	0	0	0
chr4	8019321	8020391	Non-heritable	0	1	0	1	1	0	0	0	0	1	0	0
chr4	8044794	8045014	Non-heritable	0	1	0	0	1	0	0	0	0	1	0	0
chr4	8058051	8058657	Non-heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	8285359	8285956	Heritable	0	0	0	0	1	0	0	0	0	1	0	0
chr4	8346809	8347341	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr4	8392864	8394641	Heritable	1	0	0	1	1	0	0	0	0	1	0	0
chr4	8439274	8440182	Heritable	1	1	0	1	1	0	0	1	0	0	0	0
chr4	8646659	8647021	Heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	8709727	8710087	Heritable	0	0	0	0	0	0	0	0	0	1	1	0
chr4	8747584	8748009	Heritable	1	0	0	1	0	0	1	1	0	0	0	0
chr4	8858703	8860097	Non-heritable	0	0	0	1	1	0	1	0	0	0	0	0
chr4	8866529	8870186	Non-heritable	0	0	0	1	1	1	1	1	0	0	0	0
chr4	8888425	8889091	Non-heritable	0	0	0	0	0	0	0	0	1	0	1	0
chr4	8889766	8890085	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr4	8894582	8894837	Non-heritable	0	0	0	0	0	0	0	1	0	0	1	0
chr4	8960933	8961639	Heritable	0	0	0	0	1	0	0	1	1	0	0	0
